date,amount,category,description
20-12-2025,200.59,Income,Salary
24-12-2025,2000.0,Income,Tickets for Fifa
24-12-2025,500.0,Expense,Time to buy gifts
01-12-2025,1500.00,Income,Freelance web project
03-12-2025,75.25,Expense,Grocery shopping
05-12-2025,120.00,Expense,Monthly internet bill
07-12-2025,2200.00,Income,Salary
08-12-2025,45.90,Expense,Coffee and snacks
10-12-2025,300.00,Income,Refund from store
11-12-2025,60.50,Expense,Gas for car
13-12-2025,980.00,Expense,Rent payment
15-12-2025,250.00,Income,Selling old laptop
16-12-2025,89.99,Expense,Online course purchase
17-12-2025,35.40,Expense,Streaming subscriptions
18-12-2025,180.75,Expense,Electricity bill
19-12-2025,600.00,Income,Part-time tutoring
21-12-2025,55.10,Expense,Restaurant dinner
22-12-2025,42.00,Expense,Public transport pass
23-12-2025,130.00,Expense,Clothes shopping
25-12-2025,350.00,Income,Holiday bonus
26-12-2025,210.35,Expense,Post-holiday sale shopping
27-12-2025,95.00,Expense,Gym membership
28-12-2025,400.00,Income,Side gig – delivery work
29-12-2025,70.00,Expense,Phone bill
30-12-2025,160.00,Expense,Groceries for New Year
31-12-2025,500.00,Income,Gift from family
